report_id,title,description,area,time_of_day,population_density,distance_to_school_km,complaint_age_hours,nearby_open_reports,brightness,edge_density,red_ratio,brown_ratio,green_ratio,blue_ratio,issue_type,severity_score,priority,recommended_team
CP-00011,Road Crack near Richmond Road,road crack reported at Richmond Road during night. urgent needs attention from city staff.,Richmond Road,night,0.46,2.45,94,8,125.9,0.572,0.077,0.379,0.051,0.52,Pothole,91,P1 Emergency,Emergency roads crew
CP-00012,Road Blocked near Ulsoor,road blocked reported at Ulsoor during afternoon.  needs attention from city staff.,Ulsoor,afternoon,0.3,0.28,31,6,39.18,0.828,0.092,0.395,0.348,0.305,Road Block,100,P1 Emergency,Emergency clearing crew
CP-00013,Overflowing Bin near Koramangala,overflowing bin reported at Koramangala during afternoon. night traffic jam needs attention from city staff.,Koramangala,afternoon,0.75,1.08,41,1,21.49,0.602,0.171,0.083,0.333,0.364,Garbage,83,P1 Emergency,Sanitation team
CP-00014,No Lighting near Jayanagar,no lighting reported at Jayanagar during evening. children needs attention from city staff.,Jayanagar,evening,0.71,3.46,84,8,15.16,0.766,0.105,0.438,0.518,0.111,Broken Light,88,P1 Emergency,Electrical team
CP-00015,Construction Debris near Indiranagar,construction debris reported at Indiranagar during night. night needs attention from city staff.,Indiranagar,night,0.44,3.18,7,1,121.49,0.777,0.041,0.23,0.089,0.686,Road Block,78,P1 Emergency,Emergency clearing crew
CP-00016,Burst Pipe near Whitefield,burst pipe reported at Whitefield during morning. dangerous main road needs attention from city staff.,Whitefield,morning,0.88,2.06,19,6,40.39,0.339,0.255,0.522,0.476,0.449,Water Leak,91,P1 Emergency,Water works team
CP-00017,Fallen Tree near Jayanagar,fallen tree reported at Jayanagar during afternoon. elderly school dangerous needs attention from city staff.,Jayanagar,afternoon,0.91,0.14,95,5,145.18,0.426,0.197,0.483,0.152,0.128,Road Block,100,P1 Emergency,Emergency clearing crew
CP-00018,Flooding near Koramangala,flooding reported at Koramangala during afternoon. children needs attention from city staff.,Koramangala,afternoon,0.42,2.33,52,5,64.58,0.138,0.223,0.241,0.29,0.747,Water Leak,81,P1 Emergency,Water works team
CP-00019,Display Shot upload,display shot image captured at Indiranagar during morning. Non-civic content without a public infrastructure problem.,Indiranagar,morning,0.33,2.66,4,1,110.15,0.336,0.409,0.147,0.154,0.303,Unsupported,27,P4 Low,Manual review
CP-00020,Construction Debris near Whitefield,construction debris reported at Whitefield during evening. dangerous needs attention from city staff.,Whitefield,evening,0.75,1.18,90,4,108.71,0.241,0.196,0.259,0.417,0.138,Road Block,96,P1 Emergency,Emergency clearing crew
CP-00021,Water Filled Hole near Richmond Road,water filled hole reported at Richmond Road during evening. traffic jam needs attention from city staff.,Richmond Road,evening,0.6,1.58,28,8,95.71,0.584,0.229,0.647,0.065,0.371,Pothole,100,P1 Emergency,Roads team
CP-00022,Overflowing Bin near Indiranagar,overflowing bin reported at Indiranagar during morning. school urgent children needs attention from city staff.,Indiranagar,morning,0.59,3.11,74,3,134.94,0.403,0.13,0.113,0.624,0.627,Garbage,95,P1 Emergency,Waste collection crew
CP-00023,Road Blocked near Indiranagar,road blocked reported at Indiranagar during night. main road needs attention from city staff.,Indiranagar,night,0.35,1.65,68,8,115.27,0.878,0.253,0.406,0.401,0.363,Road Block,100,P1 Emergency,Emergency clearing crew
CP-00024,Flooding near Jayanagar,flooding reported at Jayanagar during night. traffic jam needs attention from city staff.,Jayanagar,night,0.72,1.0,10,4,57.52,0.362,0.253,0.071,0.1,0.422,Water Leak,79,P1 Emergency,Drainage crew
CP-00025,Vehicle Obstruction near Indiranagar,vehicle obstruction reported at Indiranagar during night. urgent needs attention from city staff.,Indiranagar,night,0.93,2.07,90,0,157.08,0.723,0.125,0.024,0.206,0.532,Road Block,98,P1 Emergency,Emergency clearing crew
CP-00026,Vehicle Obstruction near Koramangala,vehicle obstruction reported at Koramangala during night. traffic jam children dangerous needs attention from city staff.,Koramangala,night,0.27,1.21,87,6,135.87,0.786,0.26,0.638,0.303,0.637,Road Block,100,P1 Emergency,Traffic response team
CP-00027,Digital Render upload,digital render image captured at Jayanagar during morning. Non-civic content without a public infrastructure problem.,Jayanagar,morning,0.45,3.31,11,0,114.09,0.122,0.51,0.019,0.21,0.103,Unsupported,27,P4 Low,Manual review
CP-00028,Pothole near Richmond Road,pothole reported at Richmond Road during afternoon. traffic jam school needs attention from city staff.,Richmond Road,afternoon,0.6,0.93,48,2,116.94,0.911,0.21,0.622,0.107,0.232,Pothole,98,P1 Emergency,Emergency roads crew
CP-00029,Trash near Whitefield,trash reported at Whitefield during morning.  needs attention from city staff.,Whitefield,morning,0.77,1.09,88,9,148.88,0.749,0.171,0.046,0.308,0.47,Garbage,93,P1 Emergency,Sanitation team
CP-00030,Sewage Overflow near Koramangala,sewage overflow reported at Koramangala during afternoon.  needs attention from city staff.,Koramangala,afternoon,0.58,2.58,84,4,118.55,0.852,0.224,0.313,0.458,0.501,Water Leak,81,P1 Emergency,Water works team
CP-00031,Drain Water near Ulsoor,drain water reported at Ulsoor during night. children needs attention from city staff.,Ulsoor,night,0.5,1.76,42,2,98.01,0.378,0.095,0.196,0.336,0.611,Water Leak,79,P1 Emergency,Water works team
CP-00032,Showroom Image upload,showroom image image captured at Richmond Road during night. Non-civic content without a public infrastructure problem.,Richmond Road,night,0.73,3.24,4,0,99.53,0.198,0.619,0.104,0.084,0.167,Unsupported,23,P4 Low,Manual review
CP-00033,Dumped Bags near Koramangala,dumped bags reported at Koramangala during evening. children needs attention from city staff.,Koramangala,evening,0.99,2.92,38,3,77.74,0.334,0.207,0.1,0.397,0.057,Garbage,88,P1 Emergency,Waste collection crew
CP-00034,Studio Render upload,studio render image captured at Koramangala during night. Non-civic content without a public infrastructure problem.,Koramangala,night,0.51,2.25,10,2,153.28,0.233,0.598,0.024,0.062,0.196,Unsupported,25,P4 Low,Manual review
CP-00035,Drain Water near Koramangala,drain water reported at Koramangala during morning. elderly needs attention from city staff.,Koramangala,morning,0.71,2.6,27,3,62.34,0.148,0.09,0.368,0.103,0.674,Water Leak,80,P1 Emergency,Water works team
CP-00036,Dark Road near Whitefield,dark road reported at Whitefield during evening. children dangerous needs attention from city staff.,Whitefield,evening,0.84,2.21,85,3,18.29,0.537,0.192,0.592,0.458,0.069,Broken Light,85,P1 Emergency,Night safety crew
CP-00037,Drain Water near Ulsoor,drain water reported at Ulsoor during night. elderly accident risk needs attention from city staff.,Ulsoor,night,0.58,2.11,56,5,116.59,0.102,0.087,0.445,0.476,0.36,Water Leak,93,P1 Emergency,Drainage crew
CP-00038,Trash near Koramangala,trash reported at Koramangala during night. children needs attention from city staff.,Koramangala,night,0.73,1.75,12,7,75.67,0.36,0.198,0.56,0.395,0.492,Garbage,92,P1 Emergency,Sanitation team
CP-00039,Electric Pole near Jayanagar,electric pole reported at Jayanagar during morning. dangerous needs attention from city staff.,Jayanagar,morning,0.74,1.92,53,0,42.05,0.384,0.219,0.414,0.423,0.158,Broken Light,79,P1 Emergency,Night safety crew
CP-00040,Drain Water near Whitefield,drain water reported at Whitefield during afternoon.  needs attention from city staff.,Whitefield,afternoon,0.78,1.12,2,8,85.28,0.269,0.24,0.091,0.522,0.422,Water Leak,93,P1 Emergency,Drainage crew
CP-00041,Dark Road near Richmond Road,dark road reported at Richmond Road during night. children needs attention from city staff.,Richmond Road,night,0.66,1.37,77,8,56.84,0.195,0.047,0.507,0.473,0.251,Broken Light,81,P1 Emergency,Electrical team
CP-00042,Electric Pole near Ulsoor,electric pole reported at Ulsoor during evening. children school traffic jam needs attention from city staff.,Ulsoor,evening,0.5,2.68,49,7,33.47,0.81,0.275,0.17,0.223,0.602,Broken Light,96,P1 Emergency,Night safety crew
CP-00043,Water Leak near Richmond Road,water leak reported at Richmond Road during afternoon. school needs attention from city staff.,Richmond Road,afternoon,0.63,2.09,13,7,35.95,0.845,0.034,0.111,0.482,0.385,Water Leak,100,P1 Emergency,Drainage crew
CP-00044,Sewage Overflow near Koramangala,sewage overflow reported at Koramangala during morning. night elderly needs attention from city staff.,Koramangala,morning,0.71,0.86,88,4,179.59,0.707,0.138,0.082,0.356,0.559,Water Leak,99,P1 Emergency,Water works team
CP-00045,Illustration upload,illustration image captured at Koramangala during night. Non-civic content without a public infrastructure problem.,Koramangala,night,0.36,2.89,5,2,76.46,0.357,0.383,0.053,0.064,0.043,Unsupported,20,P4 Low,Manual review
CP-00046,Construction Debris near Whitefield,construction debris reported at Whitefield during night. elderly needs attention from city staff.,Whitefield,night,0.88,0.74,50,7,37.06,0.4,0.12,0.206,0.391,0.035,Road Block,100,P1 Emergency,Emergency clearing crew
CP-00047,Fallen Tree near Koramangala,fallen tree reported at Koramangala during evening. urgent children elderly needs attention from city staff.,Koramangala,evening,0.41,0.71,33,2,120.52,0.839,0.192,0.215,0.254,0.414,Road Block,100,P1 Emergency,Traffic response team
CP-00048,No Lighting near Indiranagar,no lighting reported at Indiranagar during evening. school traffic jam needs attention from city staff.,Indiranagar,evening,0.65,3.2,22,4,37.04,0.873,0.272,0.206,0.481,0.567,Broken Light,79,P1 Emergency,Electrical team
CP-00049,Flooding near MG Road,flooding reported at MG Road during morning. main road night urgent traffic jam needs attention from city staff.,MG Road,morning,0.59,2.37,87,4,113.53,0.771,0.265,0.088,0.144,0.766,Water Leak,100,P1 Emergency,Water works team
CP-00050,Water Leak near Indiranagar,water leak reported at Indiranagar during morning. accident risk elderly urgent needs attention from city staff.,Indiranagar,morning,0.48,1.75,13,3,161.96,0.194,0.143,0.442,0.414,0.547,Water Leak,88,P1 Emergency,Water works team
CP-00051,Road Crack near Whitefield,road crack reported at Whitefield during afternoon. elderly accident risk urgent needs attention from city staff.,Whitefield,afternoon,0.58,3.33,47,1,176.95,0.922,0.255,0.805,0.052,0.208,Pothole,100,P1 Emergency,Roads team
CP-00052,Blocked Lane near Jayanagar,blocked lane reported at Jayanagar during afternoon. urgent night dangerous elderly needs attention from city staff.,Jayanagar,afternoon,0.3,2.69,27,9,54.55,0.811,0.112,0.113,0.497,0.022,Road Block,100,P1 Emergency,Traffic response team
CP-00053,Road Blocked near MG Road,road blocked reported at MG Road during afternoon. school needs attention from city staff.,MG Road,afternoon,0.26,2.78,31,9,71.8,0.226,0.043,0.487,0.299,0.527,Road Block,98,P1 Emergency,Emergency clearing crew
CP-00054,Pothole near Ulsoor,pothole reported at Ulsoor during evening. traffic jam needs attention from city staff.,Ulsoor,evening,0.59,3.38,8,7,155.57,0.482,0.057,0.501,0.255,0.632,Pothole,82,P1 Emergency,Emergency roads crew
CP-00055,Road Blocked near MG Road,road blocked reported at MG Road during afternoon. children elderly needs attention from city staff.,MG Road,afternoon,0.57,3.11,53,5,152.39,0.415,0.212,0.217,0.186,0.193,Road Block,100,P1 Emergency,Emergency clearing crew
CP-00056,Concept Art upload,concept art image captured at MG Road during evening. Non-civic content without a public infrastructure problem.,MG Road,evening,0.86,2.76,3,2,165.32,0.262,0.203,0.059,0.076,0.069,Unsupported,24,P4 Low,Manual review
CP-00057,Fallen Tree near Ulsoor,fallen tree reported at Ulsoor during night. accident risk needs attention from city staff.,Ulsoor,night,0.88,3.41,80,9,128.0,0.548,0.182,0.434,0.388,0.04,Road Block,100,P1 Emergency,Emergency clearing crew
CP-00058,Dark Road near Jayanagar,dark road reported at Jayanagar during night.  needs attention from city staff.,Jayanagar,night,0.3,2.61,4,1,56.16,0.261,0.135,0.235,0.216,0.511,Broken Light,58,P2 High,Electrical team
CP-00059,Garbage near Ulsoor,garbage reported at Ulsoor during morning.  needs attention from city staff.,Ulsoor,morning,0.45,2.33,63,9,90.73,0.309,0.219,0.092,0.551,0.213,Garbage,82,P1 Emergency,Waste collection crew
CP-00060,Sports Car upload,sports car image captured at Ulsoor during afternoon. Non-civic content without a public infrastructure problem.,Ulsoor,afternoon,0.48,2.72,7,0,86.46,0.337,0.426,0.124,0.084,0.151,Unsupported,20,P4 Low,Manual review
CP-00061,Sewage Overflow near MG Road,sewage overflow reported at MG Road during morning. elderly accident risk needs attention from city staff.,MG Road,morning,0.97,0.64,80,7,153.12,0.853,0.052,0.552,0.149,0.596,Water Leak,100,P1 Emergency,Drainage crew
CP-00062,Dumped Bags near MG Road,dumped bags reported at MG Road during morning. school needs attention from city staff.,MG Road,morning,0.65,0.72,45,5,136.38,0.768,0.234,0.169,0.521,0.154,Garbage,91,P1 Emergency,Sanitation team
CP-00063,3D Artwork upload,3d artwork image captured at Richmond Road during night. Non-civic content without a public infrastructure problem.,Richmond Road,night,0.76,1.95,6,1,151.58,0.112,0.44,0.07,0.026,0.169,Unsupported,26,P4 Low,Manual review
CP-00064,Blocked Lane near Ulsoor,blocked lane reported at Ulsoor during morning. elderly children needs attention from city staff.,Ulsoor,morning,0.59,2.84,84,3,71.44,0.48,0.068,0.059,0.075,0.631,Road Block,98,P1 Emergency,Traffic response team
CP-00065,Overflowing Bin near Whitefield,overflowing bin reported at Whitefield during night.  needs attention from city staff.,Whitefield,night,0.64,2.15,47,5,166.87,0.405,0.224,0.448,0.414,0.449,Garbage,68,P2 High,Waste collection crew
CP-00066,Fallen Tree near Whitefield,fallen tree reported at Whitefield during evening. night dangerous accident risk needs attention from city staff.,Whitefield,evening,0.48,2.31,85,6,40.63,0.675,0.051,0.372,0.361,0.243,Road Block,100,P1 Emergency,Traffic response team
CP-00067,Burst Pipe near Koramangala,burst pipe reported at Koramangala during afternoon. urgent night needs attention from city staff.,Koramangala,afternoon,0.51,2.69,25,3,180.0,0.21,0.104,0.517,0.289,0.697,Water Leak,79,P1 Emergency,Drainage crew
CP-00068,Fallen Tree near Richmond Road,fallen tree reported at Richmond Road during afternoon.  needs attention from city staff.,Richmond Road,afternoon,0.39,2.44,80,2,135.39,0.117,0.121,0.473,0.534,0.435,Road Block,83,P1 Emergency,Emergency clearing crew
CP-00069,Trash near Jayanagar,trash reported at Jayanagar during evening. children needs attention from city staff.,Jayanagar,evening,0.76,2.02,57,7,143.11,0.734,0.156,0.284,0.522,0.156,Garbage,96,P1 Emergency,Sanitation team
CP-00070,Street Light near Koramangala,street light reported at Koramangala during afternoon. dangerous main road needs attention from city staff.,Koramangala,afternoon,0.45,3.17,19,6,32.58,0.845,0.234,0.577,0.513,0.302,Broken Light,87,P1 Emergency,Night safety crew
CP-00071,Broken Lamp near MG Road,broken lamp reported at MG Road during afternoon. night needs attention from city staff.,MG Road,afternoon,0.35,1.04,61,2,17.27,0.474,0.184,0.591,0.03,0.167,Broken Light,84,P1 Emergency,Night safety crew
CP-00072,Sports Car upload,sports car image captured at Koramangala during afternoon. Non-civic content without a public infrastructure problem.,Koramangala,afternoon,0.56,3.75,2,2,76.51,0.313,0.369,0.115,0.061,0.157,Unsupported,19,P4 Low,Manual review
CP-00073,Vehicle Obstruction near Jayanagar,vehicle obstruction reported at Jayanagar during morning. main road urgent traffic jam needs attention from city staff.,Jayanagar,morning,0.73,3.43,33,0,77.14,0.137,0.09,0.434,0.075,0.416,Road Block,98,P1 Emergency,Traffic response team
CP-00074,Showroom Image upload,showroom image image captured at Jayanagar during night. Non-civic content without a public infrastructure problem.,Jayanagar,night,0.99,2.37,11,0,64.82,0.181,0.591,0.098,0.218,0.192,Unsupported,27,P4 Low,Manual review
CP-00075,Race Car upload,race car image captured at Koramangala during night. Non-civic content without a public infrastructure problem.,Koramangala,night,0.92,3.12,2,1,143.61,0.203,0.215,0.112,0.183,0.193,Unsupported,20,P4 Low,Manual review
CP-00076,Sewage Overflow near Koramangala,sewage overflow reported at Koramangala during morning. children needs attention from city staff.,Koramangala,morning,0.8,3.2,79,6,63.93,0.903,0.267,0.067,0.358,0.727,Water Leak,100,P1 Emergency,Water works team
CP-00077,Concept Art upload,concept art image captured at Jayanagar during afternoon. Non-civic content without a public infrastructure problem.,Jayanagar,afternoon,0.3,3.27,2,0,147.75,0.18,0.433,0.1,0.094,0.222,Unsupported,23,P4 Low,Manual review
CP-00078,Construction Debris near Jayanagar,construction debris reported at Jayanagar during night.  needs attention from city staff.,Jayanagar,night,0.41,2.16,89,7,52.03,0.194,0.049,0.129,0.398,0.698,Road Block,100,P1 Emergency,Emergency clearing crew
CP-00079,Crater near Jayanagar,crater reported at Jayanagar during afternoon. accident risk main road needs attention from city staff.,Jayanagar,afternoon,0.85,1.81,16,3,146.73,0.471,0.154,0.812,0.323,0.338,Pothole,97,P1 Emergency,Roads team
CP-00080,Flooding near Indiranagar,flooding reported at Indiranagar during morning. elderly dangerous needs attention from city staff.,Indiranagar,morning,0.59,2.4,45,2,160.47,0.735,0.19,0.135,0.532,0.778,Water Leak,77,P2 High,Water works team
CP-00081,Dark Road near Whitefield,dark road reported at Whitefield during evening. night needs attention from city staff.,Whitefield,evening,0.96,1.84,37,1,39.16,0.613,0.168,0.099,0.18,0.383,Broken Light,70,P2 High,Electrical team
CP-00082,3D Artwork upload,3d artwork image captured at Ulsoor during morning. Non-civic content without a public infrastructure problem.,Ulsoor,morning,0.87,3.18,8,0,122.74,0.23,0.462,0.061,0.061,0.266,Unsupported,21,P4 Low,Manual review
CP-00083,Flooding near Koramangala,flooding reported at Koramangala during evening. school needs attention from city staff.,Koramangala,evening,0.98,0.5,48,8,109.86,0.348,0.147,0.189,0.151,0.486,Water Leak,96,P1 Emergency,Drainage crew
CP-00084,Overflowing Bin near Indiranagar,overflowing bin reported at Indiranagar during night. night traffic jam elderly needs attention from city staff.,Indiranagar,night,0.62,1.11,3,1,171.24,0.505,0.272,0.156,0.478,0.054,Garbage,85,P1 Emergency,Waste collection crew
CP-00085,Road Crack near Whitefield,road crack reported at Whitefield during night. elderly school children needs attention from city staff.,Whitefield,night,0.52,1.43,73,8,51.14,0.774,0.048,0.815,0.425,0.21,Pothole,100,P1 Emergency,Roads team
CP-00086,No Lighting near Indiranagar,no lighting reported at Indiranagar during night. night school needs attention from city staff.,Indiranagar,night,0.63,0.21,18,5,27.75,0.516,0.067,0.583,0.094,0.653,Broken Light,88,P1 Emergency,Night safety crew
CP-00087,Construction Debris near Ulsoor,construction debris reported at Ulsoor during night. main road children night needs attention from city staff.,Ulsoor,night,0.86,1.32,87,1,176.78,0.57,0.229,0.477,0.385,0.038,Road Block,100,P1 Emergency,Traffic response team
CP-00088,Fallen Tree near Indiranagar,fallen tree reported at Indiranagar during morning. main road elderly needs attention from city staff.,Indiranagar,morning,0.68,2.47,25,0,90.57,0.432,0.133,0.148,0.286,0.436,Road Block,89,P1 Emergency,Traffic response team
CP-00089,Vehicle Obstruction near Whitefield,vehicle obstruction reported at Whitefield during night. night needs attention from city staff.,Whitefield,night,0.49,0.65,69,5,107.4,0.648,0.247,0.449,0.446,0.2,Road Block,100,P1 Emergency,Traffic response team
CP-00090,Broken Lamp near Jayanagar,broken lamp reported at Jayanagar during afternoon. accident risk needs attention from city staff.,Jayanagar,afternoon,0.77,1.74,62,5,63.54,0.865,0.21,0.201,0.324,0.389,Broken Light,85,P1 Emergency,Night safety crew
CP-00091,Garbage near Whitefield,garbage reported at Whitefield during evening. accident risk needs attention from city staff.,Whitefield,evening,0.94,2.31,96,7,54.24,0.775,0.098,0.374,0.576,0.094,Garbage,94,P1 Emergency,Sanitation team
CP-00092,Road Blocked near MG Road,road blocked reported at MG Road during night. traffic jam needs attention from city staff.,MG Road,night,0.5,1.68,88,2,20.83,0.542,0.262,0.276,0.516,0.617,Road Block,96,P1 Emergency,Traffic response team
CP-00093,Street Light near Jayanagar,street light reported at Jayanagar during afternoon. urgent needs attention from city staff.,Jayanagar,afternoon,0.65,2.54,5,2,19.55,0.784,0.263,0.043,0.463,0.556,Broken Light,81,P1 Emergency,Night safety crew
CP-00094,Road Crack near Koramangala,road crack reported at Koramangala during night. dangerous needs attention from city staff.,Koramangala,night,0.99,1.92,64,2,156.17,0.502,0.078,0.471,0.106,0.332,Pothole,92,P1 Emergency,Emergency roads crew
CP-00095,Overflowing Bin near Jayanagar,overflowing bin reported at Jayanagar during evening. elderly needs attention from city staff.,Jayanagar,evening,0.32,2.36,24,2,96.39,0.866,0.032,0.262,0.412,0.202,Garbage,78,P1 Emergency,Sanitation team
CP-00096,Broken Lamp near Richmond Road,broken lamp reported at Richmond Road during afternoon. urgent dangerous needs attention from city staff.,Richmond Road,afternoon,0.55,1.78,91,4,37.65,0.617,0.265,0.252,0.137,0.671,Broken Light,88,P1 Emergency,Night safety crew
CP-00097,Blocked Lane near Indiranagar,blocked lane reported at Indiranagar during morning. main road traffic jam elderly needs attention from city staff.,Indiranagar,morning,0.64,1.87,47,1,166.76,0.174,0.237,0.589,0.127,0.385,Road Block,84,P1 Emergency,Emergency clearing crew
CP-00098,Concept Art upload,concept art image captured at Ulsoor during night. Non-civic content without a public infrastructure problem.,Ulsoor,night,0.86,3.77,1,0,153.89,0.12,0.508,0.108,0.02,0.136,Unsupported,23,P4 Low,Manual review
CP-00099,Overflowing Bin near Richmond Road,overflowing bin reported at Richmond Road during night. elderly night traffic jam needs attention from city staff.,Richmond Road,night,0.31,3.38,70,2,124.57,0.372,0.075,0.358,0.369,0.515,Garbage,73,P2 High,Sanitation team
CP-00100,Sewage Overflow near Ulsoor,sewage overflow reported at Ulsoor during afternoon. main road elderly needs attention from city staff.,Ulsoor,afternoon,0.44,1.24,36,3,169.99,0.689,0.058,0.53,0.242,0.765,Water Leak,76,P2 High,Water works team
CP-00101,Hero Render upload,hero render image captured at Richmond Road during morning. Non-civic content without a public infrastructure problem.,Richmond Road,morning,0.43,2.84,3,2,165.39,0.176,0.433,0.108,0.172,0.269,Unsupported,22,P4 Low,Manual review
CP-00102,Construction Debris near MG Road,construction debris reported at MG Road during night. school elderly accident risk traffic jam needs attention from city staff.,MG Road,night,0.84,1.15,54,6,43.87,0.396,0.219,0.318,0.47,0.225,Road Block,100,P1 Emergency,Emergency clearing crew
CP-00103,Blocked Lane near Ulsoor,blocked lane reported at Ulsoor during afternoon. elderly needs attention from city staff.,Ulsoor,afternoon,0.54,0.93,43,1,167.56,0.792,0.053,0.476,0.121,0.203,Road Block,91,P1 Emergency,Traffic response team
CP-00104,Waste Pile near Indiranagar,waste pile reported at Indiranagar during evening. main road traffic jam children needs attention from city staff.,Indiranagar,evening,0.97,0.1,25,1,139.5,0.714,0.259,0.458,0.376,0.29,Garbage,88,P1 Emergency,Waste collection crew
CP-00105,Blocked Lane near Koramangala,blocked lane reported at Koramangala during night. accident risk main road needs attention from city staff.,Koramangala,night,0.6,2.82,93,7,141.86,0.349,0.081,0.217,0.044,0.608,Road Block,100,P1 Emergency,Traffic response team
CP-00106,Fallen Tree near Indiranagar,fallen tree reported at Indiranagar during evening. elderly accident risk needs attention from city staff.,Indiranagar,evening,0.42,2.02,32,7,108.1,0.873,0.114,0.501,0.279,0.512,Road Block,100,P1 Emergency,Emergency clearing crew
CP-00107,Vehicle Render upload,vehicle render image captured at Indiranagar during night. Non-civic content without a public infrastructure problem.,Indiranagar,night,0.39,3.08,1,2,75.81,0.246,0.458,0.022,0.042,0.101,Unsupported,27,P4 Low,Manual review
CP-00108,Drain Water near Ulsoor,drain water reported at Ulsoor during night.  needs attention from city staff.,Ulsoor,night,0.26,1.88,36,8,176.4,0.094,0.233,0.445,0.447,0.4,Water Leak,67,P2 High,Water works team
CP-00109,Vehicle Obstruction near Jayanagar,vehicle obstruction reported at Jayanagar during morning. night accident risk needs attention from city staff.,Jayanagar,morning,0.53,1.45,73,3,178.44,0.27,0.201,0.554,0.366,0.604,Road Block,96,P1 Emergency,Traffic response team
CP-00110,Burst Pipe near Whitefield,burst pipe reported at Whitefield during morning. urgent main road needs attention from city staff.,Whitefield,morning,0.62,1.55,43,9,176.37,0.898,0.254,0.599,0.142,0.675,Water Leak,100,P1 Emergency,Drainage crew
CP-00111,Catalog Photo upload,catalog photo image captured at Koramangala during morning. Non-civic content without a public infrastructure problem.,Koramangala,morning,0.38,3.25,3,2,87.65,0.342,0.547,0.076,0.198,0.133,Unsupported,24,P4 Low,Manual review
CP-00112,Pothole near Indiranagar,pothole reported at Indiranagar during evening.  needs attention from city staff.,Indiranagar,evening,0.7,2.17,77,6,175.03,0.606,0.189,0.61,0.259,0.175,Pothole,82,P1 Emergency,Emergency roads crew
CP-00113,Vehicle Render upload,vehicle render image captured at Jayanagar during morning. Non-civic content without a public infrastructure problem.,Jayanagar,morning,0.31,2.51,1,0,91.02,0.231,0.238,0.042,0.104,0.195,Unsupported,18,P4 Low,Manual review
CP-00114,Street Light near Richmond Road,street light reported at Richmond Road during afternoon. urgent accident risk traffic jam needs attention from city staff.,Richmond Road,afternoon,0.68,0.64,49,2,38.02,0.333,0.153,0.06,0.25,0.306,Broken Light,79,P1 Emergency,Night safety crew
CP-00115,Burst Pipe near MG Road,burst pipe reported at MG Road during evening. traffic jam children needs attention from city staff.,MG Road,evening,0.26,1.42,80,6,148.65,0.357,0.114,0.534,0.476,0.414,Water Leak,87,P1 Emergency,Water works team
CP-00116,Overflowing Bin near Whitefield,overflowing bin reported at Whitefield during afternoon. night accident risk main road elderly needs attention from city staff.,Whitefield,afternoon,0.49,1.02,51,5,38.22,0.554,0.178,0.364,0.661,0.394,Garbage,100,P1 Emergency,Sanitation team
